Time (s),Surface Tension (mN/m)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,25.070495386191787
8,42.12022223687313
9,63.640125618769446
10,76.11967239792837
11,69.86227205506144
12,68.04345046535828
13,69.4549315954871
14,66.99429228552007
15,66.2312536674981
16,64.6779275449883
17,62.80540477655678
18,62.43979716025668
19,62.43979716025668
20,61.36021364435867
21,59.630816914874764
22,58.614434339288195
23,58.28086165036304
24,56.6586652582351
25,55.39604115874067
26,53.872500158933164
27,55.086324998456476
28,54.47385385321259
29,54.47385385321259
30,53.87050979681842
31,52.39990114492911
32,51.542156124399696
33,51.26041667230204
34,50.15379410401763
35,50.15379410401763
36,49.60631492755747
37,48.807266505913844
38,48.28403829792327
39,47.00409437509001
40,47.00409437509001
41,48.02521059460861
42,46.2608107843652
43,47.26579800183232
44,46.50675806311775
45,45.5205142129697
46,45.28122233422115
47,46.2608107843652
48,45.04366211774531
49,44.57367229565197
50,45.28122233422115
51,45.533649226668004
52,45.04366211774531
53,44.09508880841009
54,44.80781742423947
55,43.39518746843116
56,46.51838069693978
57,45.2947667933931
58,44.34121095278968
59,43.41146018884836
60,44.80781742423947
61,42.50480112419613
62,42.742352454199064
63,42.742352454199064
64,42.963799663209315
65,42.742352454199064
66,42.069029209279584
67,42.28614205377097
68,42.30415159123966
69,42.52247454687999
70,42.28614205377097
71,42.069029209279584
72,42.28614205377097
73,41.85344847770476
74,42.069029209279584
75,41.407670292322074
76,41.407670292322074
77,40.98639454558669
78,41.19629125983859
79,40.98639454558669
80,41.63938590111792
81,41.19629125983859
82,41.19629125983859
83,41.21576014464684
84,40.34493433094788
85,41.426827674675835
86,40.98639454558669
87,40.77796672025966
88,40.77796672025966
89,40.77796672025966
90,40.36546474943081
91,40.57099450098161
92,40.140545659535896
93,40.57099450098161
94,39.93757841354359
95,40.57099450098161
96,39.73601980995936
97,40.57099450098161
98,40.77796672025966
99,39.93757841354359
100,40.57099450098161
101,39.93757841354359
102,39.93757841354359
103,39.93757841354359
104,39.93757841354359
105,39.93757841354359
106,39.51432929671945
107,40.140545659535896
108,39.31527891669425
109,40.140545659535896
110,39.93757841354359
111,39.93757841354359
112,39.73601980995936
113,39.93757841354359
114,39.31527891669425
115,39.31527891669425
116,40.140545659535896
117,39.51432929671945
118,39.73601980995936
119,39.93757841354359
120,39.51432929671945
121,39.51432929671945
122,39.51432929671945
123,39.51432929671945
124,39.31527891669425
125,39.11760422668611
126,39.51432929671945
127,39.11760422668611
128,39.31527891669425
129,39.31527891669425
130,39.73601980995936
131,39.31527891669425
132,39.11760422668611
133,39.31527891669425
134,39.31527891669425
135,39.11760422668611
136,38.70386850680045
137,38.921292922485456
138,39.51432929671945
139,39.31527891669425
140,38.70386850680045
141,39.11760422668611
142,39.11760422668611
143,38.509992639103444
144,39.11760422668611
145,39.31527891669425
146,39.11760422668611
147,39.11760422668611
148,39.11760422668611
149,38.70386850680045
150,38.921292922485456
151,39.31527891669425
152,38.70386850680045
153,39.31527891669425
154,39.31527891669425
155,38.509992639103444
156,38.509992639103444
157,38.509992639103444
158,38.509992639103444
159,38.70386850680045
160,38.921292922485456
161,39.11760422668611
162,38.72633283224947
163,38.509992639103444
164,38.509992639103444
165,38.317448383107866
166,38.509992639103444
167,38.72633283224947
168,39.11760422668611
169,38.509992639103444
170,38.921292922485456
171,38.509992639103444
172,38.317448383107866
173,38.509992639103444
174,38.509992639103444
175,38.317448383107866
176,39.11760422668611
177,38.509992639103444
178,38.509992639103444
179,38.509992639103444
180,38.317448383107866
181,38.509992639103444
182,38.317448383107866
183,38.317448383107866
184,38.317448383107866
185,38.317448383107866
186,38.509992639103444
187,38.509992639103444
188,38.509992639103444
189,38.72633283224947
190,38.317448383107866
191,38.317448383107866
192,38.317448383107866
193,38.317448383107866
194,38.509992639103444
195,38.509992639103444
196,38.317448383107866
197,38.509992639103444
198,38.509992639103444
199,38.509992639103444
200,38.317448383107866
201,38.317448383107866
202,38.317448383107866
203,38.317448383107866
204,38.509992639103444
205,38.317448383107866
206,38.70386850680045
207,38.509992639103444
208,38.509992639103444
209,38.103124996074364
210,38.509992639103444
211,38.103124996074364
212,38.509992639103444
213,38.2945973534718
214,37.91296494329838
215,38.103124996074364
216,38.2945973534718
217,37.70063841349711
218,38.2945973534718
219,38.103124996074364
220,38.103124996074364
221,38.2945973534718
222,38.2945973534718
223,37.70063841349711
224,38.103124996074364
225,38.2945973534718
226,37.88973874415825
227,38.2945973534718
228,38.48739379464177
229,37.88973874415825
230,37.70063841349711
231,37.70063841349711
232,38.103124996074364
233,37.70063841349711
234,38.103124996074364
235,37.70063841349711
236,37.70063841349711
237,38.2945973534718
238,38.48739379464177
239,38.080143950630976
240,37.88973874415825
241,38.080143950630976
242,37.88973874415825
243,38.080143950630976
244,37.88973874415825
245,38.080143950630976
246,38.080143950630976
247,38.080143950630976
248,37.88973874415825
249,38.080143950630976
250,37.88973874415825
251,38.080143950630976
252,37.67728662372426
253,38.48739379464177
254,37.88973874415825
255,37.67728662372426
256,37.88973874415825
257,38.080143950630976
258,37.88973874415825
259,38.080143950630976
260,37.48924131531166
261,38.080143950630976
262,38.080143950630976
263,37.48924131531166
264,37.88973874415825
265,38.080143950630976
266,37.67728662372426
267,38.080143950630976
268,38.080143950630976
269,38.2718657460262
270,38.080143950630976
271,38.080143950630976
272,38.080143950630976
273,37.48924131531166
274,38.2718657460262
275,38.2718657460262
276,37.67728662372426
277,37.67728662372426
278,38.46491597034216
279,37.866629411821506
280,38.080143950630976
281,37.67728662372426
282,37.67728662372426
283,37.67728662372426
284,37.67728662372426
285,37.67728662372426
286,37.67728662372426
287,37.67728662372426
